"expense_id","user_id","transaction_date","amount","currency","category","subcategory","description","merchant_name","payment_method","is_business_expense","receipt_available","project_code","address_street","address_city","address_state","address_postal_code","address_country","created_at","updated_at"
"EXP011","USR-3XH2C9QJ","2024-03-27","98.25","EUR","Travel","Taxi","Taxi from airport to hotel in Paris.","G7 Taxi","mobile_payment","true","true","TRAV-2024","59 Rue de Lyon","Paris","IDF","75012","FR","2024-03-27T14:18:04Z","2024-03-27T14:21:11Z"
"EXP012","USR-7PZ4T1JL","2024-03-15","0.01","USD","Other","Refund","Micro refund for rounding error in purchase.","Amazon US","other","false","false","","","","","","","2024-03-15T10:09:05Z",""
"EXP013","USR-6KE2B7NV","2024-02-21","78.6","GBP","Transportation","Taxi","Taxi to Heathrow for early morning flight.","London Cabs","cash","false","false","","23 Kingsway","London","ENG","WC2B6LE","GB","2024-02-21T05:43:19Z",""
"EXP014","USR-3ZB7H2QG","2024-04-11","149.99","USD","Office Supplies","Printer Supplies","Bulk toner cartridges for main office printer.","Staples","credit_card","true","true","OPS-2024","300 Howard St","San Francisco","CA","94105","US","2024-04-11T15:10:17Z","2024-04-11T15:15:00Z"
"EXP015","USR-2GD3K8LM","2024-04-07","16.25","USD","Food","Restaurant","Sunday brunch at The Pancake House.","The Pancake House","debit_card","false","false","","701 Main St","Denver","CO","80202","US","2024-04-07T11:22:45Z",""
"EXP016","USR-9FL2P7MG","2023-12-02","22500","EUR","Other","Donation","Charitable donation to Berlin Children's Fund.","Berlin Children's Fund","bank_transfer","true","true","CHAR-2023","77 Alexanderplatz","Berlin","BE","10178","DE","2023-12-02T13:42:11Z","2023-12-02T13:43:40Z"
"EXP017","USR-8XP3S4KT","2024-03-10","8.75","CHF","Food","Cafe","Morning latte at Geneva Lakeside Cafe.","Lakeside Cafe","cash","false","false","","12 Quai du Mont-Blanc","Geneva","GE","1201","CH","2024-03-10T07:40:13Z",""
"EXP018","USR-2RA6D8KL","2024-04-01","188.45","USD","Healthcare","Clinic","Annual checkup at SF Medical Center.","SF Medical Center","check","false","true","","90 Mission St","San Francisco","CA","94105","US","2024-04-01T09:12:02Z","2024-04-01T09:14:10Z"
"EXP019","USR-5SK2L7NP","2024-03-14","43.2","USD","Entertainment","Streaming","Disney+ subscription renewal.","Disney+","debit_card","false","true","","500 Main Ave","Orlando","FL","32801","US","2024-03-14T16:14:09Z","2024-03-14T16:15:51Z"
"EXP020","USR-1FQ8K2JL","2024-03-18","0.99","CAD","Other","Refund","Refund for duplicate app purchase.","Apple Canada","other","false","false","","","","","","","2024-03-18T11:52:33Z",""
"EXP021","USR-2SJ9P4ZK","2024-04-13","302.5","GBP","Travel","Flight","Flight from Manchester to Berlin for business summit.","EasyJet","credit_card","true","true","SUMMIT-2024","1 Piccadilly","Manchester","ENG","M1 1BY","GB","2024-04-13T17:08:11Z","2024-04-13T17:09:30Z"
"EXP022","USR-8TB1F6LM","2024-04-09","62.75","USD","Utilities","Electricity","Monthly electricity bill from PG&E.","PG&E","bank_transfer","false","true","","245 Market St","San Francisco","CA","94105","US","2024-04-09T08:18:24Z","2024-04-09T08:19:57Z"
"EXP023","USR-4XR8D2KQ","2024-04-03","21.5","GBP","Food","Restaurant","Lunch at Soho House for personal.","Soho House","debit_card","false","true","","40 Greek St","London","ENG","W1D4EB","GB","2024-04-03T13:21:39Z","2024-04-03T13:22:18Z"
"EXP024","USR-6QN2M8PL","2024-03-19","62.75","EUR","Healthcare","Pharmacy","Prescription medication for allergy.","Apotheke Berlin","credit_card","false","true","","100 Unter den Linden","Berlin","BE","10117","DE","2024-03-19T09:37:13Z","2024-03-19T09:39:00Z"
"EXP025","USR-7NM4X2QJ","2024-04-05","139.99","USD","Office Supplies","Printer Supplies","Ink cartridges for main office printer.","Best Buy","bank_transfer","true","true","OPS-2024","1214 Broadway","New York","NY","10001","US","2024-04-05T13:10:49Z","2024-04-05T13:13:20Z"
"EXP026","USR-8PB6R3MB","2024-03-27","7.25","JPY","Food","Restaurant","Lunch at Ramen Ichiban in Tokyo.","Ramen Ichiban","cash","false","false","","3-1-2 Kanda","Tokyo","TKY","1010047","JP","2024-03-27T12:35:09Z",""
"EXP027","USR-3VN8E2JK","2024-01-09","350.99","USD","Education","Workshop","Online project management workshop registration.","PMI Workshops","credit_card","true","true","EDU-2024","411 E 6th St","Austin","TX","78701","US","2024-01-09T09:48:27Z","2024-01-09T09:50:22Z"
"EXP028","USR-1RA6M3PL","2024-03-22","12.5","USD","Utilities","Internet","Partial internet bill payment for shared flat.","Comcast","debit_card","false","true","","900 Park Ave","Philadelphia","PA","19103","US","2024-03-22T15:30:38Z","2024-03-22T15:31:20Z"
"EXP029","USR-5BR3W2QL","2024-03-04","27.95","CAD","Food","Cafe","Breakfast at Tim Hortons before work.","Tim Hortons","debit_card","false","true","","400 Yonge St","Toronto","ON","M5B2H1","CA","2024-03-04T08:29:15Z","2024-03-04T08:32:05Z"
"EXP030","USR-7JM3X2PL","2024-04-08","60.5","USD","Transportation","Bus","Monthly bus pass for commute.","Muni SF","credit_card","false","true","","1 Market St","San Francisco","CA","94105","US","2024-04-08T07:28:13Z","2024-04-08T07:30:01Z"
"EXP031","USR-9QP2E4JM","2024-03-18","399.95","USD","Healthcare","Clinic","Dental treatment at Midtown Dental.","Midtown Dental","check","true","true","HEALTH-2024","220 E 42nd St","New York","NY","10017","US","2024-03-18T10:22:14Z","2024-03-18T10:25:33Z"
"EXP032","USR-3KD8S1PL","2024-03-25","14.2","USD","Food","Cafe","Coffee for morning team meeting.","Blue Bottle Coffee","credit_card","true","true","MEET-2024","300 Webster St","Oakland","CA","94607","US","2024-03-25T08:14:21Z","2024-03-25T08:15:45Z"
"EXP033","USR-2SH3J9LM","2024-04-06","35.05","BRL","Food","Restaurant","Dinner at Churrascaria in Sao Paulo.","Churrascaria Grill","credit_card","false","true","","88 Av Paulista","Sao Paulo","SP","01310-100","BR","2024-04-06T20:18:42Z","2024-04-06T20:19:28Z"
"EXP034","USR-8KF3P7LM","2024-03-03","30500.85","USD","Other","Donation","Corporate donation to local community fund.","Community Fund","bank_transfer","true","true","CORP-2024","1800 Mission St","San Francisco","CA","94103","US","2024-03-03T13:44:19Z","2024-03-03T13:46:40Z"
"EXP035","USR-7FP2K6JL","2024-03-21","58.99","USD","Utilities","Electricity","Electricity bill for March from PG&E.","PG&E","bank_transfer","false","true","","245 Market St","San Francisco","CA","94105","US","2024-03-21T09:05:29Z","2024-03-21T09:06:23Z"
"EXP036","USR-1ZR9K2PL","2024-03-16","118.55","GBP","Healthcare","Clinic","Physiotherapy session for knee injury.","London Physio","check","true","true","HEALTH-2024","22 Queen St","London","ENG","EC4R1AP","GB","2024-03-16T14:42:33Z","2024-03-16T14:44:18Z"
"EXP037","USR-3JS2P8QL","2024-04-14","11","JPY","Food","Restaurant","Sushi lunch at Tsukiji Market.","Tsukiji Sushi","credit_card","false","true","","5-2-1 Tsukiji","Tokyo","TKY","1040045","JP","2024-04-14T12:30:16Z","2024-04-14T12:32:00Z"
"EXP038","USR-9KC2L7JM","2023-12-28","17.8","BRL","Food","Cafe","Afternoon coffee at Rio Copacabana Cafe.","Copacabana Cafe","cash","false","false","","55 Av Atlantica","Rio de Janeiro","RJ","22010-000","BR","2023-12-28T15:05:47Z",""
"EXP039","USR-8QP6N2JL","2024-04-12","88.55","USD","Education","Workshop","Registration for Excel skill workshop.","SkillBoosters","credit_card","true","true","SKILLS-2024","800 Folsom St","San Francisco","CA","94107","US","2024-04-12T10:55:22Z","2024-04-12T10:56:41Z"
"EXP040","USR-7CF2J8LM","2024-03-31","99.99","CAD","Office Supplies","Printer Supplies","Printer ink for home office.","Canada Computers","debit_card","false","true","","200 Queen St W","Toronto","ON","M5V1Z2","CA","2024-03-31T08:12:33Z","2024-03-31T08:13:02Z"
"EXP041","USR-5NM4V9KJ","2024-04-11","124.5","USD","Office Supplies","Furniture","Standing desk for home office setup.","Ikea","bank_transfer","true","true","HOME-2024","8000 Ikea Blvd","Charlotte","NC","28262","US","2024-04-11T14:50:30Z","2024-04-11T14:52:10Z"
"EXP042","USR-1JK8M2PL","2024-02-29","0","GBP","Other","Refund","Refund for canceled train ticket.","National Rail","other","false","false","","","","","","","2024-02-29T10:02:13Z",""
"EXP043","USR-3CN2V9JL","2024-03-02","72.5","USD","Entertainment","Concert","Tickets for SF orchestra concert.","SF Symphony","credit_card","false","true","","201 Van Ness Ave","San Francisco","CA","94102","US","2024-03-02T20:30:08Z","2024-03-02T20:31:52Z"
"EXP044","USR-2RP4S7KL","2024-03-20","55.5","CAD","Transportation","Taxi","Taxi to Pearson Airport for vacation.","City Taxi Toronto","debit_card","false","true","","65 King St E","Toronto","ON","M5C1G6","CA","2024-03-20T06:24:39Z","2024-03-20T06:26:20Z"
"EXP045","USR-9JT5M2PL","2023-12-10","85000.5","USD","Other","Donation","Major donation to university research fund.","Stanford Research","bank_transfer","true","true","RESCH-2023","450 Serra Mall","Stanford","CA","94305","US","2023-12-10T11:08:19Z","2023-12-10T11:09:22Z"
"EXP046","USR-2JL9M3KL","2024-03-11","22.2","CAD","Food","Restaurant","Lunch at Vancouver Sushi Hut.","Sushi Hut","debit_card","false","true","","611 Granville St","Vancouver","BC","V6C1T3","CA","2024-03-11T12:20:15Z","2024-03-11T12:21:02Z"
"EXP047","USR-7JP6M2LK","2024-03-06","67.7","CHF","Transportation","Train","Train ticket from Geneva to Lausanne.","SBB CFF FFS","credit_card","true","true","TRAVEL-2024","Place Cornavin","Geneva","GE","1201","CH","2024-03-06T08:10:31Z","2024-03-06T08:12:00Z"
"EXP048","USR-3SH2N8JL","2024-04-09","149.99","USD","Office Supplies","Furniture","Desk lamp for new office setup.","Target","debit_card","true","true","OFFICE-2024","789 Mission St","San Francisco","CA","94103","US","2024-04-09T13:38:10Z","2024-04-09T13:41:00Z"
"EXP049","USR-2KH8M3PL","2024-04-12","43.8","USD","Food","Restaurant","Team dinner at The Italian Table.","The Italian Table","credit_card","true","true","TEAM-2024","333 Columbus Ave","Boston","MA","02116","US","2024-04-12T20:44:32Z","2024-04-12T20:45:22Z"
"EXP050","USR-9QJ7N2KL","2024-04-04","29.9","USD","Utilities","Internet","WiFi bill for shared workspace.","AT&T","bank_transfer","false","true","","400 Commerce St","Dallas","TX","75202","US","2024-04-04T13:16:22Z","2024-04-04T13:18:00Z"
"EXP050","USR-8MNQ12K4","2024-03-14","1456.77","EUR","Travel","Flight","Business flight to Berlin for annual conference attendance.","Lufthansa AG","credit_card","true","true","TRVL-2024","Flughafenstrasse 15","Frankfurt","HE","60549","DE","2024-03-14T10:24:17Z","2024-03-14T10:25:09Z"
"EXP051","USR-7JGK8D29","2023-11-02","46.28","USD","Food","Restaurant","Lunch at The Capital Grille with client.","Capital Grille","debit_card","false","true","","601 Pennsylvania Ave NW","Washington","DC","20004","US","2023-11-02T13:09:07Z","2023-11-02T13:09:40Z"
"EXP052","USR-1PLO9F34","2024-02-29","0","USD","Other","Refund","Refund processed for duplicate payment error.","Amazon Payments","bank_transfer","false","false","","","","","","","2024-02-29T15:44:38Z",""
"EXP053","USR-5KTR6W82","2024-04-08","87.5","AUD","Entertainment","Streaming","Annual subscription for Netflix streaming service.","Netflix Australia","credit_card","false","true","","151 Clarence St","Sydney","NSW","2000","AU","2024-04-08T21:37:01Z","2024-04-08T21:37:18Z"
"EXP054","USR-9RUX3J10","2024-01-18","211.9","CAD","Utilities","Internet","Monthly internet bill for home office.","Rogers Communications","bank_transfer","false","true","","333 Bloor St E","Toronto","ON","M4W1G9","CA","2024-01-18T17:10:20Z","2024-01-18T17:10:49Z"
"EXP055","USR-4FZG2L83","2024-03-05","13599.85","USD","Office Supplies","Furniture","Purchase of new executive desks for main office expansion.","Herman Miller Inc.","bank_transfer","true","true","FURN-2024","855 E Main Ave","Zeeland","MI","49464","US","2024-03-05T09:15:45Z","2024-03-05T09:17:05Z"
"EXP056","USR-0QTX4M57","2023-12-11","72.99","CHF","Food","Cafe","Coffee and breakfast for team meeting.","Spruengli AG","cash","false","false","","Bahnhofstrasse 21","Zurich","ZH","8001","CH","2023-12-11T08:39:41Z",""
"EXP057","USR-6LPO5T21","2024-04-03","219.45","EUR","Transportation","Taxi","Taxi from hotel to conference venue.","MyTaxi GmbH","mobile_payment","true","true","TRNS-2024","Friedrichstrasse 90","Berlin","BE","10117","DE","2024-04-03T10:12:03Z","2024-04-03T10:12:31Z"
"EXP058","USR-3DYH4V56","2024-02-15","66.2","JPY","Utilities","Electricity","Monthly electricity bill for February.","Kansai Electric","credit_card","false","true","","3-6-16 Nakanoshima","Osaka","OS","5300005","JP","2024-02-15T06:28:15Z","2024-02-15T06:29:10Z"
"EXP059","USR-2JHN3B05","2023-10-27","492","GBP","Healthcare","Clinic","Annual physical checkup at London Clinic.","London Clinic","check","true","true","HLTH-2023","20 Devonshire Pl","London","ENG","W1G6BW","GB","2023-10-27T10:31:54Z","2023-10-27T10:33:01Z"
"EXP060","USR-8SRT2J16","2024-03-28","53.8","USD","Food","Restaurant","Dinner at Shake Shack with team.","Shake Shack","debit_card","false","true","","600 F St NW","Washington","DC","20004","US","2024-03-28T20:10:17Z","2024-03-28T20:10:44Z"
"EXP061","USR-4BXG7A39","2024-02-05","0.99","USD","Other","Refund","Micro refund processed for rounding adjustment.","PayPal Refunds","other","false","false","","","","","","","2024-02-05T18:33:28Z",""
"EXP062","USR-5NCR2K77","2023-09-22","154.2","BRL","Office Supplies","Printer Supplies","Purchase of printer ink cartridges for office.","Kalunga","credit_card","true","true","PRNT-2023","Av Paulista 2000","Sao Paulo","SP","01310-200","BR","2023-09-22T15:18:52Z","2023-09-22T15:19:22Z"
"EXP063","USR-6YAG2L40","2024-03-02","48.6","USD","Entertainment","Streaming","Spotify monthly subscription.","Spotify USA","credit_card","false","false","","4 World Trade Center","New York","NY","10007","US","2024-03-02T12:56:33Z",""
"EXP064","USR-3TLR8V21","2024-04-01","189.45","GBP","Transportation","Train","Train fare for business trip to Manchester.","Virgin Trains","credit_card","true","true","TRNS-2024","Euston Road 123","London","ENG","NW12AR","GB","2024-04-01T07:44:58Z","2024-04-01T07:45:16Z"
"EXP065","USR-8DFQ6M04","2023-11-19","65.15","CHF","Food","Restaurant","Dinner at Hiltl with family.","Hiltl","debit_card","false","true","","Sihlstrasse 28","Zurich","ZH","8001","CH","2023-11-19T19:22:03Z","2023-11-19T19:22:50Z"
"EXP066","USR-2QVL4E61","2024-02-13","22999.98","EUR","Other","Donation","Corporate donation to Save the Children Germany.","Save the Children DE","bank_transfer","true","true","DON-2024","Luisenstrasse 41","Berlin","BE","10117","DE","2024-02-13T11:50:12Z","2024-02-13T11:51:21Z"
"EXP067","USR-3JBT9P17","2023-09-29","84.3","USD","Utilities","Internet","Monthly internet bill for September.","Comcast","credit_card","false","false","","1701 JFK Blvd","Philadelphia","PA","19103","US","2023-09-29T07:33:41Z",""
"EXP068","USR-7PYM2K86","2024-03-15","178.6","GBP","Travel","Hotel","Hotel stay for sales training event.","Premier Inn","debit_card","true","true","HTL-2024","York Road 6","London","ENG","SE17NH","GB","2024-03-15T22:04:11Z","2024-03-15T22:04:59Z"
"EXP069","USR-9CLM5F81","2024-03-22","55","AUD","Food","Restaurant","Lunch at Bills in Sydney.","Bills Sydney","cash","false","false","","33 Liverpool St","Sydney","NSW","2000","AU","2024-03-22T13:27:34Z",""
"EXP070","USR-0VAD3B90","2024-04-05","99.99","CHF","Entertainment","Streaming","Disney+ yearly subscription renewal.","Disney Switzerland","credit_card","false","true","","Limmatstrasse 50","Zurich","ZH","8005","CH","2024-04-05T08:09:09Z","2024-04-05T08:09:35Z"
"EXP071","USR-1BGT2A15","2023-12-30","185.44","CAD","Office Supplies","Printer Supplies","Purchase of laser printer toner for office.","Staples Canada","credit_card","true","true","PRNT-2023","40 King St W","Toronto","ON","M5H3Y2","CA","2023-12-30T17:35:14Z","2023-12-30T17:35:47Z"
"EXP072","USR-0TLP9D42","2024-03-07","53.1","USD","Food","Cafe","Breakfast at Starbucks.","Starbucks Coffee","debit_card","false","true","","425 Lexington Ave","New York","NY","10017","US","2024-03-07T08:27:31Z","2024-03-07T08:28:03Z"
"EXP073","USR-7JFT2Q19","2024-02-23","312","GBP","Healthcare","Pharmacy","Purchase of prescription medication at Boots.","Boots Pharmacy","check","false","true","","Oxford St 197","London","ENG","W1D2JY","GB","2024-02-23T15:40:40Z","2024-02-23T15:41:10Z"
"EXP074","USR-6QGT2N13","2023-09-06","119.25","USD","Transportation","Taxi","Taxi from airport to hotel.","Yellow Cab NYC","credit_card","false","true","","1 Penn Plaza","New York","NY","10119","US","2023-09-06T17:54:24Z","2023-09-06T17:55:09Z"
"EXP075","USR-9BFT2H26","2024-01-24","0.01","USD","Other","Refund","Micro refund processed for test transaction.","Stripe Refunds","other","false","false","","","","","","","2024-01-24T09:01:03Z",""
"EXP076","USR-5PQT2K34","2024-04-04","788.8","EUR","Travel","Train","Train fare for business trip to Munich.","Deutsche Bahn","credit_card","true","true","TRNS-2024","Bahnhofplatz 1","Munich","BY","80335","DE","2024-04-04T12:18:12Z","2024-04-04T12:18:45Z"
"EXP077","USR-4NJM2D22","2024-03-25","245","USD","Education","Workshop","Registration fee for professional development workshop.","Skillshare","bank_transfer","true","true","EDU-2024","45 W 25th St","New York","NY","10010","US","2024-03-25T16:40:53Z","2024-03-25T16:41:36Z"
"EXP078","USR-2MLK7H21","2023-11-16","99.99","CAD","Entertainment","Streaming","Monthly subscription for Crave TV.","Crave TV","credit_card","false","true","","250 Front St W","Toronto","ON","M5V3G5","CA","2023-11-16T22:12:05Z","2023-11-16T22:12:44Z"
"EXP079","USR-8KBG5M42","2024-02-17","220.4","USD","Healthcare","Clinic","Blood test and routine analysis.","Quest Diagnostics","debit_card","false","true","","345 Park Ave","New York","NY","10154","US","2024-02-17T09:19:09Z","2024-02-17T09:19:41Z"
"EXP080","USR-3GYN2M25","2023-09-14","67.55","BRL","Food","Restaurant","Lunch at Fogo de Chao.","Fogo de Chao","debit_card","false","false","","Av Moreira 232","Sao Paulo","SP","01310-100","BR","2023-09-14T13:11:07Z",""
"EXP081","USR-6KAP7P33","2023-12-02","146.6","USD","Office Supplies","Furniture","Purchase of ergonomic chair for home office.","IKEA North America","credit_card","false","true","","601 SW 41st St","Renton","WA","98057","US","2023-12-02T15:51:48Z","2023-12-02T15:52:14Z"
"EXP082","USR-9NKV2H60","2024-01-09","62.7","JPY","Food","Restaurant","Dinner at Sukiyabashi Jiro.","Sukiyabashi Jiro","credit_card","false","false","","Ginza 4-2-15","Tokyo","TK","1040061","JP","2024-01-09T20:04:39Z",""
"EXP083","USR-2GKP7F81","2024-02-17","10500","USD","Education","Workshop","Large payment for software engineering bootcamp.","General Assembly","bank_transfer","true","true","EDU-2024","10 E 21st St","New York","NY","10010","US","2024-02-17T15:21:38Z","2024-02-17T15:22:25Z"
"EXP084","USR-0FJP3G11","2024-03-19","59.9","EUR","Food","Cafe","Coffee meeting with client.","Coffee Fellows","credit_card","true","true","CLMT-2024","Königsallee 60","Dusseldorf","NW","40212","DE","2024-03-19T11:09:20Z","2024-03-19T11:10:05Z"
"EXP085","USR-1HJM2P29","2024-02-20","335.4","USD","Healthcare","Pharmacy","Purchase of allergy medication.","CVS Pharmacy","debit_card","false","true","","1201 S Main St","Walnut Creek","CA","94596","US","2024-02-20T09:50:08Z","2024-02-20T09:50:45Z"
"EXP086","USR-8QGW2B19","2024-04-06","17750","EUR","Other","Donation","Corporate donation to Red Cross.","Red Cross Germany","bank_transfer","true","true","DON-2024","Carstennstrasse 58","Hamburg","HH","22587","DE","2024-04-06T14:31:16Z","2024-04-06T14:32:02Z"
"EXP087","USR-5KLV2Q43","2023-10-11","54.8","USD","Food","Restaurant","Dinner at Chipotle.","Chipotle Mexican Grill","debit_card","false","false","","2223 NW Market St","Seattle","WA","98107","US","2023-10-11T18:22:05Z",""
"EXP088","USR-4QST2J80","2024-02-14","98.99","USD","Entertainment","Streaming","Renewal for HBO Max subscription.","HBO Max","credit_card","false","true","","30 Hudson Yards","New York","NY","10001","US","2024-02-14T12:06:37Z","2024-02-14T12:07:15Z"
"EXP089","USR-9GKT2F37","2024-03-21","52999.99","USD","Other","Donation","Major donation to United Way Foundation.","United Way USA","bank_transfer","true","true","DON-2024","701 N Fairfax St","Alexandria","VA","22314","US","2024-03-21T10:48:16Z","2024-03-21T10:49:10Z"
"EXP090","USR-3JGM2F80","2023-09-23","119.99","EUR","Office Supplies","Printer Supplies","Purchase of color toner cartridge.","MediaMarkt","credit_card","false","true","","Schillerstrasse 4","Munich","BY","80336","DE","2023-09-23T13:59:04Z","2023-09-23T14:00:01Z"
"EXP091","USR-6HJB2F32","2024-03-18","72.2","USD","Food","Cafe","Coffee and pastries for morning meeting.","Blue Bottle Coffee","cash","false","false","","115 New Montgomery St","San Francisco","CA","94105","US","2024-03-18T08:37:58Z",""
"EXP092","USR-8FJK2Q73","2024-01-15","292.5","GBP","Office Supplies","Furniture","Purchase of new filing cabinets.","Argos","debit_card","true","true","FURN-2024","26-48 Holloway Rd","London","ENG","N78JL","GB","2024-01-15T21:11:37Z","2024-01-15T21:12:10Z"
"EXP093","USR-2LPT2K82","2024-02-26","48.95","USD","Utilities","Electricity","Monthly electricity bill for February.","Con Edison","credit_card","false","true","","4 Irving Place","New York","NY","10003","US","2024-02-26T07:13:24Z","2024-02-26T07:14:01Z"
"EXP094","USR-7JMP2L57","2023-10-31","75.6","CAD","Food","Restaurant","Dinner at The Keg Steakhouse.","The Keg","debit_card","false","true","","25 York St","Toronto","ON","M5J2V5","CA","2023-10-31T18:44:12Z","2023-10-31T18:44:57Z"
"EXP095","USR-9KJT2L51","2024-03-17","1","USD","Other","Refund","Refund issued for payment discrepancy.","Venmo Refunds","other","false","false","","","","","","","2024-03-17T15:05:00Z",""
"EXP150","USR-ZT9KQW2L","2023-06-14","152.5","USD","Travel","Flight","Business flight from Boston to Chicago booked via Delta Airlines.","Delta Airlines","credit_card","true","true","TRVL-2023","123 Logan Ave","Boston","MA","02118","US","2023-06-14T16:43:11Z","2023-06-14T18:01:17Z"
"EXP151","USR-PM1XJ5TQ","2024-02-29","0","USD","Other","Refund","Refund issued for overcharged beverage purchase.","Java Express","cash","false","false","","","","","","","2024-02-29T09:15:08Z",""
"EXP152","USR-YL6D8BX9","2023-12-19","68.75","AUD","Food","Restaurant","Client dinner at Harbourside Grill, Sydney.","Harbourside Grill","debit_card","false","true","","89 Circular Quay","Sydney","NSW","2000","AU","2023-12-20T01:01:14Z","2023-12-20T01:55:38Z"
"EXP153","USR-KP8UR1VD","2024-03-07","425.3","GBP","Office Supplies","Furniture","Office chair and standing desk purchased for London branch.","Staples London","bank_transfer","true","true","OFFC-2024","42 Oxford St","London","ENG","W1D1BS","GB","2024-03-07T09:24:43Z","2024-03-07T12:03:17Z"
"EXP154","USR-EY7MC6PL","2023-11-26","24.99","CAD","Entertainment","Streaming","Monthly subscription for Netflix paid via debit card.","Netflix Canada","debit_card","false","true","","200 Wellington St W","Toronto","ON","M5V3C7","CA","2023-11-26T17:45:00Z",""
"EXP155","USR-HW6J0VQZ","2022-08-18","0.99","USD","Utilities","Internet","Micro transaction for test internet fee.","Test ISP","other","false","false","","","","","","","2022-08-18T08:00:11Z",""
"EXP156","USR-XB2V4RLC","2023-09-13","1050","EUR","Travel","Hotel","Hotel accommodation for conference, Berlin.","Hilton Berlin","credit_card","true","true","CONF-2023","Mohrenstraße 30","Berlin","BE","10117","DE","2023-09-13T19:19:45Z","2023-09-13T20:33:29Z"
"EXP157","USR-LQ3B1H8S","2024-01-12","14.5","CHF","Food","Cafe","Coffee and croissant at Zurich airport.","Cafe Zurich","cash","false","false","","Flughafenstrasse 45","Zurich","ZH","8058","CH","2024-01-12T07:05:32Z",""
"EXP158","USR-DN2F7WXM","2023-07-03","213.1","JPY","Transportation","Taxi","Taxi fare from Tokyo station to hotel.","Tokyo Cab Co.","mobile_payment","true","true","JAPN-2023","1-9-1 Marunouchi","Tokyo","TK","100-0005","JP","2023-07-03T12:15:27Z","2023-07-03T13:00:55Z"
"EXP159","USR-MC7J3FRP","2024-04-02","69.99","USD","Entertainment","Concert","Ticket for live music concert in Austin.","Live Nation Austin","credit_card","false","true","","320 E 6th St","Austin","TX","78701","US","2024-04-02T18:14:39Z","2024-04-02T19:02:17Z"
"EXP160","USR-VB1K8ZQW","2023-10-28","135","EUR","Healthcare","Clinic","Annual physical checkup at Vienna Medical Clinic.","Vienna Medical Clinic","check","true","true","HLTH-2023","Landstraße 88","Vienna","W","1030","AT","2023-10-28T10:22:50Z","2023-10-28T11:40:21Z"
"EXP161","USR-NK6X4YPL","2023-03-05","0.01","USD","Other","Refund","Test refund for micro transaction.","MicroPay Test","other","false","false","","","","","","","2023-03-05T04:33:00Z",""
