category,question,answer,tags,source
budgeting,"How much should I keep in my emergency fund?","Financial experts recommend keeping 3-6 months of essential expenses in an emergency fund. For freelancers or those with variable income, aim for 6-9 months. Keep this in a high-interest savings account or liquid mutual fund for easy access.","emergency_fund;savings;planning","Financial Planning"
budgeting,"What is the ideal rent-to-income ratio?","Ideally, your rent should not exceed 30% of your monthly take-home salary. In expensive cities like Mumbai or Bangalore, 35-40% may be necessary but try to compensate by reducing other discretionary spending.","rent;ratio;housing","Financial Planning"
investment,"What is a SIP and why should I start one?","A Systematic Investment Plan (SIP) lets you invest a fixed amount monthly in mutual funds. Benefits include rupee cost averaging (buying more units when markets are low), discipline in investing, and the power of compounding. Even ₹500/month can grow significantly over 10-15 years.","SIP;mutual_fund;investment","SEBI"
investment,"What is the difference between ELSS and PPF?","ELSS (Equity Linked Savings Scheme) has a 3-year lock-in, invests in equity markets, offers potentially higher returns (12-15%), and gains above ₹1 lakh are taxed at 10%. PPF has a 15-year lock-in, offers guaranteed returns (~7-7.5%), and is fully tax-free. Both qualify under Section 80C.","ELSS;PPF;comparison;80C","SEBI; Post Office"
investment,"What is NPS and is it worth it?","National Pension System (NPS) is a government-backed retirement scheme. You get extra ₹50,000 tax deduction under 80CCD(1B) above 80C limit. At retirement, 60% is tax-free lump sum and 40% goes into annuity. Equity allocation up to 75% is allowed. It's worth it for the extra tax benefit.","NPS;retirement;80CCD","PFRDA"
spending,"How can I reduce food delivery spending?","Track your Swiggy/Zomato spending for a month — most people underestimate it. Set a monthly food delivery budget (e.g., ₹3,000). Use subscription plans for discounts. Consider meal prepping on weekends. A typical Indian household can save ₹5,000-10,000/month by cooking more.","food;spending;saving_tips","Financial Planning"
spending,"How should I track UPI expenses?","Since UPI transactions don't generate physical receipts, use your banking app's statement download feature to get monthly CSVs. Upload these to FinAssist for automatic categorization. Set UPI spending limits in your banking app to control impulse purchases.","UPI;tracking;expenses","Financial Planning"
spending,"What subscriptions should I review?","Common subscription leaks: Netflix (₹649/mo), Prime (₹1,499/yr), Hotstar (₹299/mo), Spotify (₹119/mo), YouTube Premium (₹129/mo), gym (₹1,500-3,000/mo). Review which ones you actively use. Sharing family plans can save 50-70%. Cancel unused subscriptions immediately.","subscription;review;saving","Financial Planning"
credit,"What is CIBIL score and why does it matter?","CIBIL score ranges from 300-900. A score above 750 is considered good for loan/credit card approval. It's based on: payment history (35%), credit utilization (30%), credit age (15%), credit mix (10%), and new inquiries (10%). Pay EMIs on time and keep credit utilization below 30%.","CIBIL;credit_score;loan","TransUnion CIBIL"
credit,"How does credit card utilization affect my score?","Credit utilization ratio = (total credit used / total credit limit) × 100. Keep it below 30% for a healthy credit score. For example, if your limit is ₹1 lakh, don't use more than ₹30,000 at any point. High utilization signals financial stress to lenders.","credit_card;utilization;CIBIL","TransUnion CIBIL"
loans,"Should I prepay my home loan or invest?","If your home loan interest rate is 8.5% and you can earn 12-14% from equity SIPs, mathematically investing is better. However, the guaranteed 8.5% saving from prepayment is risk-free. A balanced approach: prepay partially and invest the rest. Also consider the Section 24(b) tax benefit on interest.","home_loan;prepayment;investment","Financial Planning"
loans,"What is the difference between fixed and floating interest rates?","Fixed rate stays constant throughout the loan tenure — gives certainty but is usually 1-2% higher. Floating rate changes with RBI repo rate — currently more popular and cheaper. Most home loans in India are floating rate. If rates are historically low, floating is usually better.","interest_rate;loan;RBI","RBI"
insurance,"How much life insurance cover do I need?","A common rule: life insurance cover should be 10-15 times your annual income. For a person earning ₹10 lakh/year, cover should be ₹1-1.5 crore. Consider your liabilities (loans, dependents' education) and reduce the existing savings. Always prefer term plans over endowment/ULIP for pure protection.","life_insurance;term_plan;cover","IRDAI"
insurance,"Is health insurance necessary if I have office coverage?","Yes. Corporate health insurance ends when you leave the job. Individual policies offer: portability, no-claim bonus accumulation, coverage for family when between jobs, and customizable sum insured. Start early — premiums are lower and pre-existing disease waiting periods begin sooner.","health_insurance;corporate;individual","IRDAI"
gst,"How does GST affect my expenses?","GST is included in most prices you see. Common rates: Food (5-18%), Clothing under ₹1,000 (5%), Electronics (18%), Luxury items (28%), Healthcare (mostly exempt), Education (exempt for formal institutions). Restaurant bills include 5% GST (non-AC) or 5% GST (AC) without input tax credit.","GST;tax;expenses","GST Council"
retirement,"How much do I need to retire in India?","A rough formula: Annual expenses × 25 (4% withdrawal rule). If you spend ₹6 lakh/year, you need ₹1.5 crore at retirement. Factor in inflation at 6-7% per year. Start investing early — a ₹10,000/month SIP at 12% return for 25 years can grow to ~₹1.9 crore.","retirement;planning;corpus","Financial Planning"
fraud,"How to identify UPI fraud?","Never share OTP or UPI PIN with anyone. Be wary of 'collect requests' from unknown IDs — you need to enter PIN only to SEND money, never to receive. Legitimate companies never ask for PIN/OTP via call. Report fraud immediately to your bank and at cybercrime.gov.in or call 1930.","UPI;fraud;safety","RBI; NPCI"
freelancing,"How are freelancers taxed in India?","Freelance income is taxed under 'Profits and Gains from Business or Profession'. You can claim business expenses (laptop, internet, workspace, travel) as deductions. If turnover is below ₹50 lakh, you can opt for presumptive taxation under Section 44ADA (50% of gross receipts is deemed profit). Advance tax is mandatory if tax liability exceeds ₹10,000.","freelancer;tax;44ADA;business","Income Tax Act"
freelancing,"What expenses can freelancers deduct?","Deductible business expenses include: internet bills, phone bills (business portion), laptop/computer depreciation, co-working space rent, professional software subscriptions, travel for client meetings, professional development courses, and accounting fees. Maintain proper receipts and invoices for all deductions.","freelancer;deductions;expenses","Income Tax Act"
gig_schemes,"What is e-Shram and who is eligible?","e-Shram is India's national database for unorganised workers, launched in 2021. Gig workers (delivery partners, ride-hailing drivers, platform services) are eligible if they are aged 16–59, not registered under EPFO/ESIC, and not an income-tax payer. Over 31 crore workers had registered by late 2025. Registration gives access to PMSBY accident cover and other welfare schemes. Register at eshram.gov.in or through your aggregator (Zomato, Swiggy, Ola, Uber, Blinkit are onboarded).","e-Shram;gig_worker;registration;unorganised","e-Shram Portal; Code on Social Security 2020"
gig_schemes,"What is PM-SYM (Pradhan Mantri Shram Yogi Maan-dhan)?","PM-SYM is a voluntary pension scheme for unorganised workers including gig workers. You get ₹3,000/month pension after age 60. Monthly contribution ranges from ₹55 (if you enroll at age 18) to ₹200 (if you enroll at age 40). The government matches your contribution equally. Eligibility: age 18–40, monthly income below ₹15,000, not an EPFO/ESIC/NPS member. Enroll through e-Shram portal or Common Service Centres (CSCs).","PM-SYM;pension;gig_worker;retirement","Ministry of Labour and Employment"
gig_schemes,"What is PMSBY and how does it work for gig workers?","Pradhan Mantri Suraksha Bima Yojana (PMSBY) provides ₹2 lakh accident insurance cover. For e-Shram registered workers, the first year premium is free. From year two, ₹20/year is auto-debited on the registration anniversary date from your linked bank account. CRITICAL: if your bank balance is insufficient on that date, coverage silently lapses. Keep at least ₹50 in your account before your e-Shram registration anniversary every year.","PMSBY;accident_insurance;gig_worker;e-Shram","Ministry of Finance; e-Shram"
gig_schemes,"What is PMJJBY and is it available to gig workers?","Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) provides ₹2 lakh life insurance cover. Premium is ₹436/year auto-debited from your bank account every June 1st. Any Indian aged 18–50 with a bank account can enroll — including gig workers. Enroll through your bank or net banking. It covers death due to any cause (not just accidents, unlike PMSBY).","PMJJBY;life_insurance;gig_worker","Ministry of Finance"
gig_schemes,"What is the Atal Pension Yojana (APY)?","APY is a government-backed pension scheme targeting workers in the unorganised sector. You get a guaranteed pension of ₹1,000–₹5,000/month after age 60 depending on contribution amount and age of entry. Eligibility: age 18–40, must have a bank account, must not be an income-tax payer. Monthly contributions range from ₹42 to ₹1,454. Enroll through your bank.","APY;Atal_Pension;pension;unorganised","PFRDA"
gig_schemes,"What are state-level gig worker welfare boards?","Several states have passed gig worker legislation: Rajasthan (July 2023), Karnataka, Bihar, Jharkhand (August 2025), and Telangana (2026). These laws establish welfare boards funded by aggregator welfare cess payments. Benefits include health coverage, accident compensation, and access to welfare funds. Check your state's labour department portal for registration. Karnataka's law is currently under legal challenge but has not been stayed.","state_welfare;gig_worker;welfare_board;Karnataka;Rajasthan","State Labour Departments; Code on Social Security 2020"
gig_schemes,"What is the Code on Social Security 2020 and what does it mean for gig workers?","The Code on Social Security 2020 came into effect on 21 November 2025 and for the first time formally defines 'gig workers' and 'platform workers' in Indian law. It entitles them to accident insurance, health and maternity cover, and old-age protection. Draft rules (December 2025) propose eligibility after 90 days of engagement with one aggregator or 120 days across multiple platforms in a financial year.","Code_on_Social_Security;gig_worker;legal;platform_worker","Ministry of Labour and Employment"
gig_income,"How should I budget with irregular gig income?","Do not use a fixed monthly budget — gig income is weekly and volatile. Instead: (1) Calculate your 4-week weighted average income (recent weeks count more). (2) Base your spending plan on 80% of that average to create a buffer. (3) In good earning weeks, save the extra instead of spending it. (4) Keep a minimum 2-week income buffer in your savings account at all times.","budgeting;irregular_income;gig_worker;WMA","nitisaathi Budget Agent"
gig_income,"What savings rate should I target as a gig worker?","Your savings rate should adjust to your income volatility, not be a flat 20%. If your income is stable week-to-week (coefficient of variation below 15%), save 20%. If moderately volatile (15–30% CV), save 10%. If highly volatile (above 30% CV), save at least 5% — your buffer is more important than a high savings rate during lean periods.","savings_rate;volatility;gig_worker;irregular_income","nitisaathi Budget Agent; FR-4.4"
gig_income,"What is platform payout and how is it taxed?","Platform payout is the income credit from your aggregator (Zomato, Swiggy, Ola, Uber, etc.). It is taxable as 'Profits and Gains from Business or Profession' under the Income Tax Act. If your annual platform payout income is below ₹2.5 lakh, you typically owe no tax. Between ₹2.5–₹5 lakh, you pay 5% on the amount above ₹2.5 lakh. Deductible expenses include fuel, vehicle depreciation, phone bills (business portion), and maintenance costs. If gross income is below ₹50 lakh, opt for Section 44ADA presumptive taxation — 50% of gross receipts is deemed profit, no need to maintain detailed books.","platform_payout;tax;gig_worker;44ADA","Income Tax Act; Section 44ADA"
gig_income,"How do I build an emergency fund on a gig worker income?","Target 6–9 months of essential expenses (rent + fuel + food + EMI) since your income is irregular. Start small: save ₹500–₹1,000 from every good earning week. Use a separate savings account or liquid mutual fund — not your UPI wallet. A common mistake is keeping emergency funds in the same account as daily spending — it gets spent. Even ₹10,000 saved is a meaningful buffer for a gig worker.","emergency_fund;gig_worker;savings","Financial Planning"
gig_income,"What is informal borrowing and why does it matter for my finances?","Informal borrowing means borrowing from family or friends when your balance runs out. While common among gig workers, frequent informal borrowing is a sign of financial stress. Track how often you need to borrow — if it happens more than once a quarter, you likely need to increase your emergency buffer or reduce fixed expenses like rent or EMI.","informal_borrowing;financial_stress;gig_worker","nitisaathi Budget Agent"
gig_income,"How should I handle a vehicle EMI on a gig income?","If you have a vehicle loan EMI, your EMI burden percentage should stay below 30% of your average monthly income. For a delivery partner earning ₹15,000/month, this means keeping EMI below ₹4,500/month. In low-income months, prioritize EMI payment before discretionary spending to protect your credit score. Consider refinancing if EMI burden exceeds 40% of income.","EMI;vehicle_loan;gig_worker;debt","Financial Planning"
upi_fraud,"What is a fake KYC scam and how to spot it?","Scammers call pretending to be from your bank or NPCI saying your UPI/account KYC is expired and will be blocked. They ask you to install a screen-sharing app (like AnyDesk or TeamViewer) to 'verify' your details. Once you install it, they can see your UPI app and steal money. RULE: Banks never call and ask you to install apps or share your screen. Disconnect immediately and report to your bank.","KYC_scam;UPI_fraud;screen_sharing;gig_worker","RBI; CERT-In"
upi_fraud,"What is a fake QR code scam?","Physical QR code stickers at shops can be replaced by scammers with their own QR codes. When you scan and pay, money goes to the scammer instead of the merchant. Always verify the payee name shown on your UPI app before confirming payment. If the name doesn't match the shop/merchant, cancel and ask the shopkeeper to verify their QR code.","QR_code_scam;UPI_fraud;payment","RBI; NPCI"
upi_fraud,"What is a task-based job scam targeting gig workers?","A common scam targeting gig workers and students: you get a message offering ₹500–₹2,000 per task (liking YouTube videos, writing reviews, etc.). After completing a few tasks you are asked to pay an 'advance deposit' to unlock higher-paying tasks. The advance is never returned. Legitimate employers never ask workers to pay to get work. Report to cybercrime.gov.in or call 1930.","job_scam;task_scam;UPI_fraud;gig_worker","CERT-In; Cyber Crime Portal"
upi_fraud,"What is a fake refund scam?","You receive a call from someone claiming to be from Zomato, Swiggy, Amazon, or a bank saying you are eligible for a refund. They send a UPI 'collect request' asking you to enter your PIN to 'receive' the refund. Entering your PIN on a collect request actually sends money FROM your account. You never need to enter your PIN to receive money — only to send it. Decline all unexpected collect requests.","refund_scam;UPI_fraud;collect_request","NPCI; RBI"
upi_fraud,"How to report UPI fraud in India?","Immediately call your bank's 24x7 helpline and freeze the account. Also call the National Cyber Crime Helpline at 1930 or file a complaint at cybercrime.gov.in. The sooner you report, the better the chance of recovery. Keep a screenshot of the fraudulent transaction. UPI fraud reported within 24 hours has a higher reversal rate than those reported later.","UPI_fraud;reporting;cybercrime","RBI; MHA Cyber Division"
gig_nudge,"What should I do before my PMSBY renewal date?","PMSBY auto-debits ₹20 from your bank account on the anniversary of your e-Shram registration date every year. If your balance is below ₹20 on that date, your accident cover silently lapses and you are uninsured. Check your e-Shram registration date and make sure you have at least ₹100 in your linked bank account 2 weeks before that date.","PMSBY;renewal;nudge;gig_worker","e-Shram; Ministry of Finance"
gig_nudge,"What does a low balance flag mean?","A low balance flag means your current account balance has fallen below 30% of your typical weekly income. For example, if you usually earn ₹4,000/week, a balance below ₹1,200 triggers the flag. This is a warning to reduce discretionary spending and avoid taking on new expenses until your next platform payout.","low_balance;nudge;budget;gig_worker","nitisaathi Budget Agent; FR-4.5"
gig_nudge,"How do I know if my income volatility is high?","Income volatility is measured as the coefficient of variation (CV) of your weekly earnings over the past 8 weeks. A CV above 30% means your income varies significantly week to week. Signs of high volatility: some weeks you earn ₹6,000 and others only ₹1,500, zero-earning weeks during monsoon or festivals, irregular platform payout timing. When volatility is high, build a larger buffer and reduce fixed commitments like EMIs.","income_volatility;CV;gig_worker;budget","nitisaathi Budget Agent; FR-4.3"
gig_welfare,"Am I eligible for e-Shram registration as a delivery partner?","Yes, if you are aged 16–59, work as a delivery partner for Zomato, Swiggy, Blinkit, Zepto, or similar platforms, are not registered under EPFO or ESIC, and do not pay income tax, you are eligible. Register at eshram.gov.in or through your aggregator app. You will need your Aadhaar number and a bank account linked to your mobile number.","e-Shram;delivery;eligibility;gig_worker","e-Shram Portal"
gig_welfare,"Am I eligible for e-Shram registration as a ride-hailing driver?","Yes, Ola, Uber, and Rapido drivers are explicitly eligible for e-Shram registration, provided you are aged 16–59, not covered by EPFO/ESIC, and not an income-tax payer. From December 2024, Ola and Uber are onboarded aggregators on e-Shram's Aggregator Module, making self-registration through the app possible.","e-Shram;ride_hailing;eligibility;gig_worker","e-Shram Portal; Aggregator Module 2024"
gig_welfare,"What is the 90-day and 120-day rule for gig worker social security?","Under the Code on Social Security 2020 draft rules (December 2025), gig workers become eligible for social security benefits after either: 90 days of engagement with a single aggregator platform in a financial year, OR 120 days across multiple aggregator platforms in a financial year. Days are counted from the platform's records. This is the eligibility threshold for accident insurance, health cover, and maternity benefits under the new law.","90_day_rule;120_day_rule;gig_worker;social_security","Code on Social Security 2020; Draft Rules December 2025"
gig_welfare,"What welfare benefits do gig workers get from their aggregator?","Under state gig worker welfare laws (Rajasthan, Karnataka, Bihar, Jharkhand, Telangana), aggregators pay a welfare cess (typically 1–2% of transaction value) into a state welfare fund. Benefits vary by state but typically include: accident compensation, death benefit, disability cover, and partial medical reimbursement. Check your state's gig worker welfare board portal for the specific benefit schedule and how to claim.","welfare_cess;aggregator;state_welfare;gig_worker","State Gig Worker Welfare Acts 2023-2026"
