transaction_id,date,time,amount,merchant,description,category,payment_method,bank,status
TXN202401310214,2024-01-31,08:59:30,352.33,Indane Gas,LPG cylinder booking,Utilities,UPI,Bank of Baroda,Success
TXN202401310232,2024-01-31,22:02:53,12705.06,Indian Oil,Diesel refueling,Transport,UPI,SBI,Success
TXN202402010193,2024-02-01,10:33:13,8457.21,Fortis Hospital,Health screening,Healthcare,Wallet,IndusInd Bank,Success
TXN202402010316,2024-02-01,08:17:24,7290,Axis Mutual Fund,Monthly SIP,Investment,Credit Card,IndusInd Bank,Success
TXN202402020449,2024-02-02,14:14:23,2280,Flipkart,Online shopping - clothing,Shopping,Cash,Bank of Baroda,Success
TXN202402030072,2024-02-03,18:31:04,17522.12,BYJU'S,Learning app subscription,Education,UPI,ICICI Bank,Success
TXN202402040233,2024-02-04,10:00:13,807.53,Spotify India,Music subscription,Entertainment,Wallet,Yes Bank,Success
TXN202402040329,2024-02-04,17:16:50,310,Café Coffee Day,Coffee shop visit,Food,Cash,Yes Bank,Success
TXN202402050253,2024-02-05,19:43:31,1285.6,Grofers,Grocery delivery order,Grocery,Debit Card,ICICI Bank,Success
TXN202402060018,2024-02-06,22:15:17,1690,Barbeque Nation,Dining out - dinner,Food,UPI,IDFC First,Success
TXN202402070028,2024-02-07,23:13:32,14138.42,HDFC Bank EMI,Home loan EMI,EMI,UPI,Axis Bank,Success
TXN202402070225,2024-02-07,12:51:48,14813.32,IKEA India,Home furnishing,Shopping,Credit Card,Yes Bank,Success
TXN202402070414,2024-02-07,07:11:50,2160,D-Mart,Grocery and household items,Grocery,Credit Card,Kotak Bank,Success
TXN202402090432,2024-02-09,22:16:24,7790,More Supermarket,Household essentials,Grocery,Cash,PNB,Success
TXN202402100176,2024-02-10,14:12:40,14350,Mumbai Local,Train pass renewal,Transport,Debit Card,IDFC First,Success
TXN202402120443,2024-02-12,15:38:56,8170,Delhi Metro,Metro recharge,Transport,UPI,SBI,Success
TXN202402130157,2024-02-13,22:23:04,2385.84,Starbucks India,Coffee and beverages,Food,UPI,Bank of Baroda,Success
TXN202402130306,2024-02-13,09:32:08,32042.18,Axis Mutual Fund,Monthly SIP,Investment,UPI,Bank of Baroda,Success
TXN202402140286,2024-02-14,09:08:48,1873.66,Delhi Metro,Metro recharge,Transport,Net Banking,Bank of Baroda,Success
TXN202402160492,2024-02-16,16:59:48,1580,Faasos,Wraps and rolls delivery,Food,UPI,IndusInd Bank,Success
TXN202402170332,2024-02-17,16:38:39,2238.4,FreshMenu,Healthy meal delivery,Food,Cash,ICICI Bank,Success
TXN202402170380,2024-02-17,17:52:21,1626.38,Grofers,Grocery delivery order,Grocery,Wallet,Kotak Bank,Success
TXN202402180120,2024-02-18,16:27:20,9986.66,IndiGo Airlines,Domestic flight ticket,Transport,UPI,Yes Bank,Success
TXN202402180384,2024-02-18,19:42:46,1393.17,Delhi Jal Board,Water bill payment,Utilities,Cash,ICICI Bank,Success
TXN202402190338,2024-02-19,08:42:22,12141.88,Apollo 24/7,Teleconsultation,Healthcare,Credit Card,IndusInd Bank,Success
TXN202402200421,2024-02-20,12:46:37,2538.51,Vi (Vodafone Idea),Postpaid bill,Utilities,UPI,Axis Bank,Success
TXN202402210333,2024-02-21,16:13:12,6156.92,Uber India,Cab ride to office,Transport,Debit Card,Kotak Bank,Success
TXN202402220071,2024-02-22,06:36:18,19081.91,PG Accommodation,PG monthly payment,Rent,UPI,SBI,Success
TXN202402220284,2024-02-22,09:20:23,2210,Zomato,Online food delivery,Food,UPI,ICICI Bank,Success
TXN202402240030,2024-02-24,23:09:17,740,Zomato,Online food delivery,Food,Net Banking,Axis Bank,Success
TXN202402240235,2024-02-24,09:33:09,1356.65,Jio Recharge,Mobile recharge,Utilities,Debit Card,PNB,Success
TXN202402240392,2024-02-24,14:39:12,2894.4,Max Healthcare,Medical check-up,Healthcare,Cash,Axis Bank,Success
TXN202402250106,2024-02-25,13:30:01,15602.81,Croma,Electronics purchase,Shopping,Net Banking,IDFC First,Success
TXN202402260129,2024-02-26,15:43:43,1503.18,Chai Point,Tea and snacks,Food,Debit Card,SBI,Success
TXN202402280011,2024-02-28,23:48:17,1933.07,Café Coffee Day,Coffee shop visit,Food,Debit Card,Bank of Baroda,Success
TXN202402280077,2024-02-28,23:14:41,4580,SBI Life,Endowment plan premium,Insurance,UPI,HDFC Bank,Success
TXN202402280104,2024-02-28,20:04:09,6080,Reliance Fresh,Fresh vegetables and fruits,Grocery,Cash,IndusInd Bank,Success
TXN202402280115,2024-02-28,08:30:28,11692.45,Lenskart,Eyeglasses purchase,Healthcare,UPI,Yes Bank,Success
TXN202402280420,2024-02-28,11:42:51,890,Spotify India,Music subscription,Entertainment,Wallet,IndusInd Bank,Success
TXN202403010296,2024-03-01,06:21:51,700.48,BookMyShow,Movie tickets,Entertainment,Debit Card,IDFC First,Success
TXN202403030122,2024-03-03,19:22:55,16733.91,Meesho,Budget fashion shopping,Shopping,UPI,Kotak Bank,Success
TXN202403040175,2024-03-04,22:09:19,8650.53,Zerodha,Brokerage charges,Investment,Credit Card,PNB,Success
TXN202403040373,2024-03-04,23:16:30,10540,IndiGo Airlines,Domestic flight ticket,Transport,UPI,Kotak Bank,Success
TXN202403060015,2024-03-06,21:35:10,3997.9,Rapido,Bike taxi ride,Transport,Cash,Axis Bank,Success
TXN202403060042,2024-03-06,12:26:42,4713.75,Indane Gas,LPG cylinder booking,Utilities,UPI,IDFC First,Success
TXN202403080245,2024-03-08,08:11:27,6787.77,Practo,Doctor consultation online,Healthcare,Cash,HDFC Bank,Success
TXN202403090048,2024-03-09,20:42:33,1483.04,Sony LIV,Sports streaming,Entertainment,Wallet,IDFC First,Success
TXN202403090159,2024-03-09,07:22:34,5144.35,Narayana Health,Hospital consultation,Healthcare,Wallet,Yes Bank,Success
TXN202403090185,2024-03-09,14:46:23,1169.16,INOX,Movie + popcorn,Entertainment,Cash,SBI,Success
TXN202403090265,2024-03-09,16:07:15,7840,Meesho,Budget fashion shopping,Shopping,UPI,IndusInd Bank,Success
TXN202403090394,2024-03-09,21:00:33,18484.48,Shoppers Stop,Branded clothing,Shopping,Cash,IDFC First,Success
TXN202403090494,2024-03-09,14:57:02,7294.97,Bharat Petroleum,CNG refueling,Transport,Debit Card,IndusInd Bank,Success
TXN202403100249,2024-03-10,15:00:25,863.93,Zomato,Online food delivery,Food,Net Banking,Yes Bank,Success
TXN202403100308,2024-03-10,09:09:06,452.72,McDonald's India,Fast food restaurant,Food,Cash,HDFC Bank,Success
TXN202403120425,2024-03-12,23:12:16,1847.18,Haldiram's,Sweets and snacks purchase,Food,UPI,SBI,Success
TXN202403130276,2024-03-13,14:40:26,2000,Mahanagar Gas,Piped gas bill,Utilities,UPI,Bank of Baroda,Success
TXN202403160310,2024-03-16,08:45:15,1455.73,PVR Cinemas,Movie screening,Entertainment,UPI,Kotak Bank,Success
TXN202403170143,2024-03-17,16:05:37,3385.34,Delhi Jal Board,Water bill payment,Utilities,Debit Card,Bank of Baroda,Success
TXN202403170427,2024-03-17,17:25:14,13374.82,Indian Oil,Diesel refueling,Transport,Debit Card,ICICI Bank,Success
TXN202403170467,2024-03-17,21:51:00,346.43,PlayStation Store,Gaming purchase,Entertainment,Net Banking,Yes Bank,Success
TXN202403180051,2024-03-18,13:24:44,2320,Rapido,Bike taxi ride,Transport,Cash,Bank of Baroda,Success
TXN202403180364,2024-03-18,10:12:21,1052.52,Biryani Blues,Biryani delivery order,Food,Wallet,ICICI Bank,Success
TXN202403190209,2024-03-19,20:47:38,16208.75,PG Accommodation,PG monthly payment,Rent,Wallet,IndusInd Bank,Success
TXN202403190498,2024-03-19,15:20:26,9620,Vistara Airlines,Air India flight,Transport,UPI,SBI,Success
TXN202403200092,2024-03-20,08:30:50,14538.98,Indian Oil,Diesel refueling,Transport,Cash,HDFC Bank,Success
TXN202403200460,2024-03-20,09:07:58,208.96,PVR Cinemas,Movie screening,Entertainment,Wallet,IDFC First,Success
TXN202403210075,2024-03-21,13:11:35,790,D-Mart,Grocery and household items,Grocery,Wallet,IDFC First,Success
TXN202403210434,2024-03-21,17:38:45,2051.54,Dominos Pizza,Pizza delivery order,Food,Cash,PNB,Success
TXN202403220002,2024-03-22,19:21:17,1412.74,Big Bazaar,Monthly grocery shopping,Grocery,Net Banking,HDFC Bank,Success
TXN202403220166,2024-03-22,06:09:54,950.21,Audible India,Audiobook subscription,Entertainment,UPI,ICICI Bank,Success
TXN202403220319,2024-03-22,09:15:42,6256.47,Ajio,Apparel shopping,Shopping,UPI,Axis Bank,Success
TXN202403220366,2024-03-22,21:50:48,11720,Dr. Lal PathLabs,Blood test,Healthcare,Cash,Bank of Baroda,Success
TXN202403230013,2024-03-23,23:49:59,1350,Baskin Robbins,Ice cream purchase,Food,Net Banking,Yes Bank,Success
TXN202403240035,2024-03-24,11:56:26,1594.87,Star Health Insurance,Family floater premium,Insurance,Net Banking,Bank of Baroda,Success
TXN202403250023,2024-03-25,18:00:24,4000.09,Uber India,Cab ride to office,Transport,Wallet,Kotak Bank,Success
TXN202403260412,2024-03-26,23:34:00,1590,Zomato,Online food delivery,Food,Credit Card,Bank of Baroda,Success
TXN202403270314,2024-03-27,19:52:46,16850,House Rent - Landlord,Monthly house rent,Rent,Cash,ICICI Bank,Success
TXN202403270423,2024-03-27,06:20:15,1199.71,INOX,Movie + popcorn,Entertainment,Cash,Kotak Bank,Success
TXN202403280133,2024-03-28,20:53:44,13800,Indian Railways (IRCTC),Train ticket booking,Transport,UPI,Axis Bank,Success
TXN202403280438,2024-03-28,13:53:26,28235.23,Bajaj Finserv EMI,Consumer durable EMI,EMI,UPI,IDFC First,Success
TXN202403300131,2024-03-30,10:24:34,10563.96,IndiGo Airlines,Domestic flight ticket,Transport,Net Banking,HDFC Bank,Success
TXN202403300221,2024-03-30,19:35:31,164.87,KFC India,Fried chicken restaurant,Food,Cash,IndusInd Bank,Success
TXN202403300325,2024-03-30,23:44:56,32865.36,MagicBricks Rent,Rental apartment payment,Rent,Credit Card,IDFC First,Success
TXN202403310323,2024-03-31,16:03:01,411.89,Café Coffee Day,Coffee shop visit,Food,UPI,HDFC Bank,Success
TXN202403310352,2024-03-31,21:37:35,5270,SpiceJet,Flight booking,Transport,Debit Card,HDFC Bank,Success
TXN202403310395,2024-03-31,11:46:52,1951.88,BluSmart,Electric cab ride,Transport,Net Banking,IndusInd Bank,Success
TXN202403310478,2024-03-31,20:40:47,24075.53,Co-living Space,Shared living rent,Rent,Debit Card,PNB,Success
TXN202404010070,2024-04-01,15:00:45,4370,Reliance Fresh,Fresh vegetables and fruits,Grocery,UPI,IndusInd Bank,Success
TXN202404020081,2024-04-02,19:40:52,7390,Mumbai Local,Train pass renewal,Transport,Net Banking,Bank of Baroda,Success
TXN202404020096,2024-04-02,11:11:05,15354.45,Decathlon India,Sports equipment,Shopping,Credit Card,Yes Bank,Success
TXN202404020145,2024-04-02,12:21:49,1240,Haldiram's,Sweets and snacks purchase,Food,UPI,ICICI Bank,Success
TXN202404020147,2024-04-02,11:46:28,684.08,Rapido,Bike taxi ride,Transport,Credit Card,Yes Bank,Success
TXN202404020487,2024-04-02,12:57:53,662.69,Faasos,Wraps and rolls delivery,Food,UPI,HDFC Bank,Failed
TXN202404040206,2024-04-04,10:30:20,14040,Ola Cabs,Auto ride,Transport,Cash,Axis Bank,Success
TXN202404040465,2024-04-04,21:27:13,10651.6,Croma,Electronics purchase,Shopping,Net Banking,Bank of Baroda,Success
TXN202404040474,2024-04-04,06:08:46,3540,Rapido,Bike taxi ride,Transport,UPI,Axis Bank,Success
TXN202404050405,2024-04-05,11:47:32,8010,HDFC Bank EMI,Home loan EMI,EMI,Debit Card,IndusInd Bank,Success
TXN202404060484,2024-04-06,16:01:09,438.23,Mahanagar Gas,Piped gas bill,Utilities,UPI,HDFC Bank,Success
TXN202404070101,2024-04-07,14:43:48,5823.24,More Supermarket,Household essentials,Grocery,UPI,HDFC Bank,Success
TXN202404080205,2024-04-08,11:39:54,16076.53,Decathlon India,Sports equipment,Shopping,Cash,IndusInd Bank,Success
TXN202404090422,2024-04-09,16:31:28,8410.15,Pepperfry,Furniture purchase,Shopping,UPI,IDFC First,Success
TXN202404090454,2024-04-09,20:59:25,4680,Nature's Basket,Organic grocery shopping,Grocery,Cash,IndusInd Bank,Success
TXN202404100303,2024-04-10,23:48:50,3700,MakeMyTrip,Travel booking,Transport,Cash,SBI,Success
TXN202404120016,2024-04-12,15:25:42,9783.18,Netmeds,Online medicine delivery,Healthcare,Wallet,HDFC Bank,Success
TXN202404120302,2024-04-12,15:36:50,4579.52,Indian Railways (IRCTC),Train ticket booking,Transport,Wallet,PNB,Success
TXN202404150052,2024-04-15,19:24:57,11553.84,Uber India,Cab ride to office,Transport,UPI,IDFC First,Success
TXN202404150288,2024-04-15,22:38:32,1105.5,Vi (Vodafone Idea),Postpaid bill,Utilities,UPI,Axis Bank,Success
TXN202404160376,2024-04-16,21:21:15,56.71,Faasos,Wraps and rolls delivery,Food,UPI,IDFC First,Success
TXN202404180341,2024-04-18,12:08:02,6367.92,Rapido,Bike taxi ride,Transport,Cash,Axis Bank,Failed
TXN202404180371,2024-04-18,06:37:32,1011.13,Jio Recharge,Mobile recharge,Utilities,UPI,Bank of Baroda,Success
TXN202404210409,2024-04-21,22:30:35,6624.77,Zepto,Quick grocery delivery,Grocery,UPI,HDFC Bank,Success
TXN202404220009,2024-04-22,10:32:31,2550,Croma,Electronics purchase,Shopping,UPI,ICICI Bank,Success
TXN202404220269,2024-04-22,15:02:17,5850,Decathlon India,Sports equipment,Shopping,Wallet,IDFC First,Success
TXN202404220318,2024-04-22,06:57:51,1960,KFC India,Fried chicken restaurant,Food,Wallet,IndusInd Bank,Success
TXN202404220457,2024-04-22,13:51:20,1060.44,Starbucks India,Coffee and beverages,Food,UPI,Kotak Bank,Success
TXN202404230229,2024-04-23,10:01:16,1405.61,Biryani Blues,Biryani delivery order,Food,Cash,Kotak Bank,Success
TXN202404230312,2024-04-23,10:12:52,1031.43,Baskin Robbins,Ice cream purchase,Food,UPI,IDFC First,Success
TXN202404250124,2024-04-25,19:54:35,14620.74,Dr. Lal PathLabs,Blood test,Healthcare,UPI,IDFC First,Success
TXN202404260298,2024-04-26,22:00:02,4320,BSES Rajdhani,Electricity bill,Utilities,UPI,Yes Bank,Success
TXN202404270007,2024-04-27,07:51:20,3330,Big Bazaar,Monthly grocery shopping,Grocery,Net Banking,Axis Bank,Success
TXN202404270447,2024-04-27,20:50:44,28500,BYJU'S,Learning app subscription,Education,Cash,PNB,Success
TXN202404290001,2024-04-29,22:38:01,1425.05,McDonald's India,Fast food restaurant,Food,Cash,Axis Bank,Success
TXN202404290148,2024-04-29,23:15:19,14487.39,Fortis Hospital,Health screening,Healthcare,Credit Card,PNB,Success
TXN202404290199,2024-04-29,07:06:26,4974.5,Indian Oil,Diesel refueling,Transport,UPI,SBI,Failed
TXN202404290282,2024-04-29,19:41:05,5690,Grofers,Grocery delivery order,Grocery,Wallet,HDFC Bank,Success
TXN202404300110,2024-04-30,17:06:43,949.97,Faasos,Wraps and rolls delivery,Food,Net Banking,SBI,Success
TXN202405010099,2024-05-01,18:36:22,17456.95,BYJU'S,Learning app subscription,Education,Debit Card,SBI,Failed
TXN202405010172,2024-05-01,21:01:23,26268.9,SBI Home Loan,Housing loan installment,EMI,UPI,IDFC First,Success
TXN202405020014,2024-05-02,07:15:56,14620,Bajaj Allianz,Motor insurance renewal,Insurance,Wallet,HDFC Bank,Failed
TXN202405020227,2024-05-02,23:20:49,1558.68,BSNL,Landline + broadband bill,Utilities,Net Banking,Kotak Bank,Success
TXN202405030066,2024-05-03,19:31:35,27744.94,House Rent - Landlord,Monthly house rent,Rent,Wallet,Yes Bank,Success
TXN202405040456,2024-05-04,16:49:29,17135.39,Decathlon India,Sports equipment,Shopping,UPI,Yes Bank,Success
TXN202405060026,2024-05-06,07:39:05,17576.75,Co-living Space,Shared living rent,Rent,Net Banking,Kotak Bank,Success
TXN202405070073,2024-05-07,09:35:48,17485.22,House Rent - Landlord,Monthly house rent,Rent,Credit Card,IndusInd Bank,Success
TXN202405070368,2024-05-07,13:44:56,1850,Hathway,Cable TV bill,Utilities,Cash,IndusInd Bank,Success
TXN202405100406,2024-05-10,06:21:29,1790,Biryani Blues,Biryani delivery order,Food,UPI,PNB,Success
TXN202405130307,2024-05-13,16:59:51,1012.73,Haldiram's,Sweets and snacks purchase,Food,Net Banking,PNB,Success
TXN202405140012,2024-05-14,22:48:11,1290,Café Coffee Day,Coffee shop visit,Food,Debit Card,IndusInd Bank,Success
TXN202405140496,2024-05-14,23:23:29,40.78,RedBus,Bus ticket booking,Transport,Cash,ICICI Bank,Success
TXN202405150027,2024-05-15,18:08:42,3298.4,Airtel,Prepaid recharge,Utilities,UPI,SBI,Success
TXN202405150105,2024-05-15,23:07:29,615.39,Netflix India,Monthly subscription,Entertainment,Debit Card,IDFC First,Success
TXN202405160036,2024-05-16,11:50:44,3688.82,Udemy,Course purchase,Education,Wallet,Axis Bank,Success
TXN202405180300,2024-05-18,08:36:23,6410.35,ICICI Prudential,Mutual fund investment,Investment,UPI,ICICI Bank,Success
TXN202405180374,2024-05-18,10:26:53,2251.62,Pizza Hut,Pizza delivery,Food,UPI,Kotak Bank,Success
TXN202405190128,2024-05-19,20:42:27,1239.87,Zomato,Online food delivery,Food,Debit Card,Axis Bank,Success
TXN202405200000,2024-05-20,13:14:08,18490.84,Amazon India,Online shopping - electronics,Shopping,UPI,IDFC First,Success
TXN202405200196,2024-05-20,15:07:36,17012.57,Pepperfry,Furniture purchase,Shopping,Cash,PNB,Failed
TXN202405210275,2024-05-21,10:44:55,280,Netflix India,Monthly subscription,Entertainment,Net Banking,Axis Bank,Success
TXN202405210343,2024-05-21,22:29:58,21874.62,IKEA India,Home furnishing,Shopping,Cash,HDFC Bank,Success
TXN202405220005,2024-05-22,20:40:53,11262.55,Chegg India,Study resources subscription,Education,Credit Card,Kotak Bank,Success
TXN202405220064,2024-05-22,20:15:48,750.06,Amazon Prime,Annual subscription,Entertainment,Cash,PNB,Success
TXN202405230239,2024-05-23,23:36:42,130.61,FreshMenu,Healthy meal delivery,Food,Net Banking,SBI,Failed
TXN202405230315,2024-05-23,20:56:09,2215.15,SBI Mutual Fund,SIP installment,Investment,Credit Card,Kotak Bank,Success
TXN202405230462,2024-05-23,18:14:48,8690,Lenskart,Eyeglasses purchase,Healthcare,Cash,Yes Bank,Success
TXN202405260451,2024-05-26,12:02:50,15388.36,Care Health,Health insurance premium,Insurance,Credit Card,IDFC First,Success
TXN202405260480,2024-05-26,21:34:00,1062.57,PVR Cinemas,Movie screening,Entertainment,Wallet,Kotak Bank,Success
TXN202405270094,2024-05-27,13:47:05,11020,Pepperfry,Furniture purchase,Shopping,UPI,Yes Bank,Success
TXN202405270186,2024-05-27,08:24:32,1153.37,Pizza Hut,Pizza delivery,Food,UPI,ICICI Bank,Failed
TXN202405290251,2024-05-29,21:36:50,3659.09,Indian Railways (IRCTC),Train ticket booking,Transport,Cash,PNB,Success
TXN202405300331,2024-05-30,06:20:16,1430,Netflix India,Monthly subscription,Entertainment,UPI,Bank of Baroda,Success
TXN202405310401,2024-05-31,12:48:34,129.15,Baskin Robbins,Ice cream purchase,Food,UPI,IDFC First,Success
TXN202406010053,2024-06-01,18:54:57,2385.9,Barbeque Nation,Dining out - dinner,Food,Credit Card,Yes Bank,Success
TXN202406010358,2024-06-01,12:09:33,3874.28,Hathway,Cable TV bill,Utilities,Cash,PNB,Success
TXN202406020171,2024-06-02,11:45:45,13912.05,Mumbai Local,Train pass renewal,Transport,Net Banking,IndusInd Bank,Success
TXN202406020222,2024-06-02,18:11:48,8080,Rapido,Bike taxi ride,Transport,Credit Card,Kotak Bank,Success
TXN202406030179,2024-06-03,21:15:51,12116.02,Indian Oil,Diesel refueling,Transport,Wallet,HDFC Bank,Success
TXN202406030207,2024-06-03,06:16:41,3000,Reliance Fresh,Fresh vegetables and fruits,Grocery,UPI,Yes Bank,Success
TXN202406040347,2024-06-04,15:17:53,1254.47,Biryani Blues,Biryani delivery order,Food,UPI,Axis Bank,Success
TXN202406050037,2024-06-05,13:14:01,33171.64,ICICI Prudential,Mutual fund investment,Investment,Debit Card,HDFC Bank,Failed
TXN202406060213,2024-06-06,06:25:16,12252.3,MakeMyTrip,Travel booking,Transport,UPI,SBI,Success
TXN202406060362,2024-06-06,19:50:56,860,McDonald's India,Fast food restaurant,Food,Debit Card,Yes Bank,Success
TXN202406070045,2024-06-07,13:51:12,2300,Apollo 24/7,Teleconsultation,Healthcare,Wallet,IDFC First,Success
TXN202406070138,2024-06-07,20:28:02,643.74,D-Mart,Grocery and household items,Grocery,UPI,HDFC Bank,Success
TXN202406070144,2024-06-07,23:24:41,3999.98,BSES Rajdhani,Electricity bill,Utilities,UPI,Bank of Baroda,Success
TXN202406080127,2024-06-08,16:49:36,4850.55,Reliance Fresh,Fresh vegetables and fruits,Grocery,UPI,ICICI Bank,Success
TXN202406100267,2024-06-10,20:39:03,6951.07,Blinkit,Instant grocery delivery,Grocery,Wallet,ICICI Bank,Success
TXN202406110493,2024-06-11,23:50:41,1903.91,McDonald's India,Fast food restaurant,Food,Wallet,Axis Bank,Success
TXN202406130164,2024-06-13,09:05:20,1669.25,Haldiram's,Sweets and snacks purchase,Food,Cash,ICICI Bank,Success
TXN202406130348,2024-06-13,14:46:26,28410,Bajaj Finserv EMI,Consumer durable EMI,EMI,Wallet,Axis Bank,Success
TXN202406150118,2024-06-15,18:38:33,7583.97,Tata CLiQ,Premium shopping,Shopping,Cash,HDFC Bank,Success
TXN202406150464,2024-06-15,17:39:55,3917.72,Ola Cabs,Auto ride,Transport,Credit Card,Kotak Bank,Success
TXN202406160056,2024-06-16,16:48:56,3157.18,JioMart,Online grocery purchase,Grocery,Cash,Kotak Bank,Success
TXN202406170082,2024-06-17,19:44:31,1583.45,Jio Recharge,Mobile recharge,Utilities,UPI,Yes Bank,Success
TXN202406180190,2024-06-18,09:26:37,530.06,PVR Cinemas,Movie screening,Entertainment,UPI,IDFC First,Success
TXN202406180204,2024-06-18,11:46:29,1638.3,Zomato,Online food delivery,Food,UPI,PNB,Success
TXN202406180386,2024-06-18,14:03:32,3363.92,Delhi Metro,Metro recharge,Transport,Cash,Axis Bank,Success
TXN202406180424,2024-06-18,21:29:28,928.92,Café Coffee Day,Coffee shop visit,Food,UPI,ICICI Bank,Success
TXN202406190188,2024-06-19,21:33:29,414.9,Café Coffee Day,Coffee shop visit,Food,UPI,PNB,Success
TXN202406200153,2024-06-20,10:08:02,500.92,Audible India,Audiobook subscription,Entertainment,UPI,Yes Bank,Success
TXN202406200203,2024-06-20,15:29:41,13719.52,Flipkart,Online shopping - clothing,Shopping,UPI,IndusInd Bank,Success
